city2,genus,PLACEFIPS,FIPS,STFIPS.x,HOUSEUNITS,POPULATION,ecoprovmajority,NAME.y,fdmed1stmean,fdmedlastmean,frzfremedmean,gddmenmean,logdnsmean,logdtrmean,logdtrdnsmean,mindexmean,phmnxtmpmean,pptmeasmean,pptmenmean,tmpmaxmean,tmpmaxsummean,uselevmean,phzone,ha,ecoprovmaj,xcoord,ycoord,namestate,County,inc_1969,inc_1979,inc_1989,State,Mean.YEAR,Mean.Value,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,coastdat.coast3,canopy,city,small,med,large,state,trait_value.diameter.at.breast.height..1.3.m.,trait_value.leaf.area,trait_value.leaf.dry.mass,trait_value.seed.mass,trait_value.whole.plant.height,OrigValueStr.Leaf.length,OrigValueStr.Leaf.thickness,OrigValueStr.Leaf.width,OrigValueStr.Plant.growth.rate,OrigValueStr.Plant.height.vegetative,OrigValueStr.Plant.lifespan..longevity.,OrigValueStr.Stem.diameter,small_cor,med_cor,large_cor,log_small
LANGDON ND,abies,3844780,42091,38,1057,1874,332,LANGDON,255,146,109,1700.00835,179.75,13.25,188,0.279845446,-3594.142857,84.09975272,461.9964757,84,244.2695172,488.6684028,32,435.11832,332,-176449,2864313,CavalierNorth Dakota,"Cavalier County, ND",22358,24415,18458,North Dakota,1966.276995,105088.4956,23,124,25,12612,254,-229,483,175,-150,175,-150,464,80,10,65,223,36,223,36,957276.1731,0.001622743,LANGDON,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LANKIN ND,abies,3844860,42019,38,72,90,332,LANKIN,262,140,122,1998,150.2592045,21.8335796,208.3078069,0.25861457,-3424,76,489,98,257.6666565,405.9590164,41,90.64965,332,-143859,2814277,WalshNorth Dakota,"Walsh County, ND",28401,21020,21004,North Dakota,1954.058824,65277.77778,35,125,25,12642,272,-214,486,187,-139,187,-139,476,83,11,60,220,41,220,41,991280.7205,4.00E-05,LANKIN,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LARAMIE WY,abies,5645050,9003,56,14307,33000,342,LARAMIE,257,156.1,100.9,1325.3,158.3478261,16.08695652,163.6086957,0.118466247,-3112.142857,76.2,304.7,122.7,245.2666656,2202.470569,42,4599.82224,342,-797002,2073972,NA,NA,45623,28756.75748,26234.44882,NA,1974.436667,227309.4374,51,152,39,8209,266,-119,385,134,-49,160,-49,325,48,11,46,135,34,122,34,1307707.694,0.020313759,LARAMIE WY,,,,MISC,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LARGO FL,abies,1239425,18097,12,46859,82244,232,LARGO,364.2727273,26.09090909,338.1818182,8241.090909,218.0425532,0,169.8510638,-0.06227381,-69.13333333,96.18181818,1292.8,275,321.6333252,6.436397985,101,4825.15137,232,1303042,628747,PinellasFlorida,"Pinellas County, FL",26296,22461,19623,Florida,1976.845215,135708.3291,224,98,44,4600,325,104,221,277,173,277,161,1251,212,43,53,573,182,537,204,2495.186418,0.156685491,LARGO,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LARIMORE ND,abies,3845020,42129,38,623,1310,251,LARIMORE,267,138,129,2124,201.4049736,7.064886779,228.4608652,0.256846309,-3362.5,67,515.7303819,100,258.6666565,341.6974359,41,152.80941,251,-122610,2769176,Grand ForksNorth Dakota,"Grand Forks County, ND",27315,25936,23730,North Dakota,1962.648903,109279.7784,39,121,25,12666,274,-208,482,192,-135,192,-135,496,84,12,58,222,43,222,43,1026536.681,0.017486819,LARIMORE,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LAUREL FL,abies,1239600,18121,12,5482,8572,232,LAUREL,366.6666667,26,340.6666667,8418,216.4,3,194.6,-0.077947622,-105.4666667,94.66666667,1264,283.3333333,326.1111145,1.442372881,101,1344.20481,232,1345300,549760,SarasotaFlorida,"Sarasota County, FL",29919,25251,20536,Florida,1976.161308,259105.3391,226,111,49,4164,327,104,223,275,181,275,169,1272,218,39,59,594,168,594,186,959.6436981,0.209989298,LAUREL,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LAUREL MT,abies,3042700,NA,30,2943,7094,331,LAUREL,267.0847523,133.5164311,133.5683212,2432.100931,207,1.75,189.75,0.020954707,-2996,72.60712669,365.1482603,156.2088565,287.8092052,1020.41403,42,551.66787,331,-992534,2587433,YellowstoneMontana,"Yellowstone County, MT",25942,29257,24838,Montana,1968.17041,156183.7456,83,154,36,9028,311,-112,423,129,-32,202,-32,372,69,13,51,164,47,107,47,1051257.458,0.050589292,LAUREL,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEALMAN FL,abies,1239775,18057,12,10584,20458,232,LEALMAN,-1,-1,-1,8537,232.6,0,153.5,-0.082733721,2.272727273,91.66666667,1260.333333,274,322.222229,11.05591398,101,1054.12593,232,1312858,620175,PinellasFlorida,"Pinellas County, FL",26296,22461,19623,Florida,1969.139411,103109.6964,224,95,43,4585,322,106,216,277,173,277,162,1235,212,39,55,567,175,538,199,5532.652594,0.159885451,LEALMAN CDP,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEECHBURG PA,abies,4242280,48427,42,1138,2090,221,LEECHBURG,282,128,154,2751.267782,243.5,0,196.5,0.377988636,-2132.5,134,1034.400041,162.4000409,276.133351,254.6477987,61,124.31952,221,1368622,2075958,ArmstrongPennsylvania,"Armstrong County, PA",33443,25929,21697,Pennsylvania,1947.668464,93647.54098,95,127,33,8807,284,-90,374,184,-23,205,-23,1024,107,60,18,314,199,310,199,294265.7393,0.143050109,LEECHBURG,,,,PA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEESBURG VA,abies,5144984,56013,51,15119,46933,221,LEESBURG,291.8888889,109.6666667,182.2222222,3706.444444,169.7647059,20.29411765,202.5882353,0.288511779,-1740.75,93.88888889,1069.2,188.9,297.1666626,99.14503996,71,3227.12754,221,1570463,1939644,LoudounVirginia,"Loudoun County, VA",32465,40943,30915,Virginia,1989.251555,430953.926,123,123,34,8550,306,-55,361,210,10,231,10,1001,99,67,12,282,210,280,210,56660.94078,0.179671409,LEESBURG,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LENNOX CA,abies,641180,17135,6,5487,23184,261,LENNOX,-1,-1,-1,4878.043547,230,0,134,-0.572552168,336,25.94600689,334.6267286,223.9700465,252.5222755,29.70212766,102,282.30891,261,-2032893,1448304,Los AngelesCalifornia,"Los Angeles County, CA",21027,29410,29127,California,1959.384819,359924.5407,180,103,54,3034,277,87,190,147,214,221,144,333,75,0,98,203,4,9,192,6946.074499,0.007901078,LENNOX CDP,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEOMINSTER MA,abies,2535075,29189,25,17873,41773,221,LEOMINSTER,275.2380952,128.1904762,147.047619,2476.666667,129.5063291,30.29113924,134.8860759,0.404769916,-2324.310811,118.4761905,1256.863636,144.9545455,266.7575753,177.745311,52,7687.09032,221,1956962,2419980,WorcesterMassachusetts,"Worcester County, MA",10267,28791,29200,Massachusetts,1964.254088,256436.0723,81,120,31,9162,272,-110,382,37,187,196,-42,1156,114,88,7,314,275,280,284,60608.48353,0.538660454,LEOMINSTER,,,,MA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEWISTON ID,abies,1646540,20097,16,14057,32841,331,LEWISTON,293.2222222,107.3333333,185.8888889,3069.333333,171.212766,10.34042553,159.5106383,-0.133423715,-1474.638298,85.77777778,326.8888889,167.5555556,289.6296319,358.5804457,72,4672.34196,331,-1605757,2778607,Nez PerceIdaho,"Nez Perce County, ID",30955,26580,24309,Idaho,1967.880736,189194.4016,114,125,36,7577,318,-26,344,147,210,214,21,381,42,17,23,114,62,75,104,416760.728,0.018570163,LEWISTON,,,,ID,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEWISTOWN MT,abies,3043375,36117,30,3007,5904,331,LEWISTOWN,260,146,114,1519.666667,124.6428571,39.28571429,108.7857143,0.175909182,-3164.846154,100.3333333,463,125,245.5,1241.938019,42,1375.28469,331,-1023741,2745990,FergusMontana,"Fergus County, MT",23075,20512,22345,Montana,1956.212603,130295.4944,59,145,35,8786,276,-133,409,146,-53,173,-53,438,81,14,57,201,56,165,56,969278.2114,0.01862853,LEWISTOWN,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEXINGTON KY,abies,2146027,27095,21,135160,312390,223,LEXINGTON,294.8655914,108.8870968,185.9784946,3882.069892,118.0981183,49.84274194,173.5833333,0.328028135,-1953.489824,108.5215054,1164.778378,184.3189189,291.7099119,288.4999436,62,73962.34443,223,1000838,1728412,BourbonKentucky,"Bourbon County, KY",24002,21038,20356,Kentucky,1978.12068,226287.5033,125,118,33,8520,301,-53,354,212,135,231,11,1158,118,69,15,336,245,314,264,617312.011,0.126041001,LEXINGTON KY,,,,MISC,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEXINGTON MA,abies,2535250,29186,25,12019,32489,221,LEXINGTON,281.6363636,122.8181818,158.8181818,2616.636364,191.627907,2.209302326,180.0232558,0.380603907,-2078.170732,115.5454545,1196.9,152.1,269.1666656,65.28659503,61,4312.33335,221,2001842,2423114,MiddlesexMassachusetts,"Middlesex County, MA",15442,34239,34059,Massachusetts,1963.238858,743876.3504,91,114,30,8875,279,-89,368,0,204,204,-26,1138,116,84,9,316,258,258,291,16334.12223,0.503214763,LEXINGTON,,,,MA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEXINGTON NE,abies,3126910,37091,31,3403,10320,332,LEXINGTON,279.3333333,123,156.3333333,3218.666667,197.5454545,11.54545455,197.7272727,0.107643545,-2576.5,57.33333333,576.75,168,294.4166718,732.502584,52,1168.08549,332,-313494,1980306,DawsonNebraska,"Dawson County, NE",29106,27483,21669,Nebraska,1967.156573,92241.83351,97,143,33,10054,312,-115,427,202,-34,226,-34,569,98,10,64,275,35,248,35,1308180.839,0.013382126,LEXINGTON,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LEXINGTON VA,abies,5145512,56001,51,2546,7300,2210,LEXINGTON,286.5,120.5,166,3714.5,232.2,0,160,0.27811563,-1744.125,103.5,1017,193.5,294.8333435,317.4872685,71,652.67748,2210,1437025,1763942,RockbridgeVirginia,"Rockbridge County, VA",27260,22658,20186,Virginia,1959.895343,262061.6366,125,134,38,7872,300,-48,348,206,21,225,21,1023,101,69,11,284,219,275,219,193575.6348,0.265926641,LEXINGTON,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LIBBY MT,abies,3043450,36059,30,1416,2669,3330,LIBBY,250.5150497,159,91.51504972,1804.668898,193.2,2.2,164.6,0.085178727,-2388.8,113.5150501,471.2269697,150.0237418,280.8689561,680.7224736,52,502.45806,3330,-1452411,2970789,LincolnMontana,"Lincoln County, MT",25599,26224,28020,Montana,1958.735515,111282.5789,71,144,37,8046,295,-87,382,-27,167,175,-32,554,68,29,29,203,95,111,180,498439.2641,0.113924413,LIBBY,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LIDGERWOOD ND,abies,3846460,42001,38,417,629,251,LIDGERWOOD,268,133,135,2493.809184,206.5,0,219,0.264468685,-3242.718263,75.76376207,548,118,273.6666565,335.0628019,41,168.34935,251,-88731,2565577,RichlandNorth Dakota,"Richland County, ND",36886,26122,18389,North Dakota,1956.571754,66967.87149,58,128,26,12270,294,-191,485,183,-111,207,-111,512,86,12,59,228,38,226,38,1212331.428,0.000970772,LIDGERWOOD,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LINCOLN ND,abies,3846640,42017,38,836,3099,331,LINCOLN,262,135,127,2265.482578,179.5,0,201,0.17617336,-3297.6,86.48257761,430.5,123,274.6666565,510.973494,41,318.56877,331,-360279,2650869,BurleighNorth Dakota,"Burleigh County, ND",24450,31989,26056,North Dakota,1995.008591,177777.7778,53,135,28,11709,289,-188,477,173,-104,199,-104,416,77,11,61,193,35,184,35,1229344.464,0.005909859,LINCOLN,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LINDENWOLD NJ,abies,3440440,39013,34,8251,17816,232,LINDENWOLD,297.5,107,190.5,3674.5,219.7,0,172.2,0.348469898,-1600.818182,98.5,1175,182.5,293.1666565,26.99182764,71,1025.63604,232,1768005,2062737,CamdenNew Jersey,"Camden County, NJ",17936,30256,31230,New Jersey,1970.160933,138465.3303,121,113,32,8518,299,-51,350,229,9,229,9,1130,114,75,12,320,253,320,253,35825.60845,0.342214606,LINDENWOLD,,,,NJ,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LISBON ND,abies,3847100,42049,38,1090,2286,332,LISBON,263,135,128,2260,180.6666667,4.666666667,174.5,0.244471696,-3260.5,73,513,116,274,338.5506073,41,582.74775,332,-129770,2606623,RansomNorth Dakota,"Ransom County, ND",25612,22880,18543,North Dakota,1967.282713,126836.394,51,132,27,12144,286,-197,483,176,-115,199,-115,490,85,11,60,219,36,218,36,1183620.006,0.027193145,LISBON,,,,ND,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LIVINGSTON MT,abies,3043975,36089,30,3779,7424,3320,LIVINGSTON,260,150.5,109.5,1863,166.2666667,13.6,164.2,0.082652648,-2953.375,90.5,404.25,138,261.3333359,1388.065494,42,1556.58399,3320,-1130066,2606542,ParkMontana,"Park County, MT",28408,24485,20712,Montana,1958.618844,205251.2449,66,139,36,7995,279,-101,380,101,-32,172,-32,401,67,12,50,167,43,135,43,917994.2692,0.055936741,LIVINGSTON,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LIVONIA MI,abies,2649000,31041,26,40401,94730,222,LIVONIA,289.96,119.88,170.08,2887.52,193.1538462,1.571428571,159.5384615,0.300213726,-2255.846154,113.16,832.4,149.6,275.9466699,202.2645087,61,9285.11415,222,1029814,2223843,WayneMichigan,"Wayne County, MI",19710,31216,31752,Michigan,1966.379249,170579.1955,94,103,27,9663,287,-87,374,215,-22,215,-35,792,87,42,20,244,144,244,148,663646.9298,0.185752591,LIVONIA,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LODI CA,abies,642202,17199,6,23792,63787,262,LODI,323.2222222,57.88888889,265.3333333,4278.777778,194.1470588,10.55882353,158.2058824,-0.321416104,-374.3030303,55.44444444,456.6666667,235,320.4444478,11.15027438,92,3597.49611,262,-2170565,1967044,San JoaquinCalifornia,"San Joaquin County, CA",48544,26930,25908,California,1971.866416,272172.2418,154,150,49,5594,327,24,303,81,222,222,81,421,85,1,83,221,7,7,221,83889.58255,0.013039115,LODI,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LODI WI,abies,5545350,8003,55,1272,3109,222,LODI,274,129,145,2562.647784,154.4,27.2,200,0.379638829,-2772.4,100,832.1597283,131,266.8533892,281.3739703,51,461.01822,222,521225,2275644,ColumbiaWisconsin,"Columbia County, WI",24809,27456,26503,Wisconsin,1968.256705,185926.9663,75,117,27,10618,282,-142,424,205,-71,205,-71,797,100,26,40,290,90,290,90,1108665.064,0.100860424,LODI,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LOGAN IA,abies,1946155,26101,19,649,1509,251,LOGAN,278,117.9657978,160.0342022,3353.40519,184.75,9.25,202.5,0.284034873,-2737.5,82,821.0287545,158,292,337.8157895,51,258.999,251,17227,2071227,HarrisonIowa,"Harrison County, IA",25858,23284,19727,Iowa,1952.100424,110052.6316,96,125,29,10691,305,-125,430,207,-50,227,-50,785,113,19,51,315,64,299,64,1314193.199,0.152365778,LOGAN,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LOMBARD IL,abies,1744407,21233,17,18454,43925,222,LOMBARD,283.125,122.75,160.375,3137.375,205.7692308,0.576923077,159.3461538,0.347505038,-2463.896552,102.75,950.8571429,156.8571429,284.8571429,218.6679764,52,2701.35957,222,657240,2124427,DuPageIllinois,"DuPage County, IL",19867,46096,43532,Illinois,1970.526175,256837.2418,95,111,28,10040,291,-105,396,218,-41,218,-41,928,105,35,30,306,138,306,138,975998.022,0.149169441,LOMBARD,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LOMPOC CA,abies,642524,17179,6,14416,44357,261,LOMPOC,341.5714286,53.42857143,288.1428571,3271.571429,144.3928571,29.89285714,151.3928571,-0.508299679,-171.8709677,37.57142857,429.1428571,220.2857143,245.238096,58.29568273,92,3022.51833,261,-2200322,1573836,Santa BarbaraCalifornia,"Santa Barbara County, CA",29539,30098,28089,California,1971.987857,252303.0251,143,116,63,2124,230,48,182,120,164,170,117,357,72,0,92,202,2,7,191,12108.81977,0.043880935,LOMPOC,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
LYNCHBURG VA,abies,5147672,56027,51,31992,80219,231,LYNCHBURG,293.59375,105.75,187.84375,3880.34375,172.6299213,9.480314961,171.2440945,0.266092194,-1603.438462,102.8125,1100.16129,196.4516129,296.1612884,226.8037074,71,12859.30035,231,1466273,1725637,AmherstVirginia,"Amherst County, VA",22593,27794,23497,Virginia,1968.596986,190232.0515,134,128,37,7952,306,-39,345,215,28,234,28,1072,107,76,10,294,238,287,238,193091.5133,0.495807036,LYNCHBURG,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MACKINAW CITY MI,abies,2650320,31045,26,814,841,212,MACKINAW CITY,270.2357136,146.0673977,124.1683159,1771.327417,167.7777778,43.22222222,199.7777778,0.379024913,-2620.555556,131.3346456,751.2105883,101.3254946,228.9123279,187.7781599,51,878.00661,212,873780,2583727,CheboyganMichigan,"Cheboygan County, MI",21780,21804,21451,Michigan,1966.812689,201533.0189,59,107,27,9605,254,-133,387,136,-62,177,-68,780,98,34,24,252,133,223,139,677953.5772,0.448349405,MACKINAW CIT,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MADISON IN,abies,1845990,24003,18,5787,12083,223,MADISON,297,109,188,3810.75,192.9130435,3.260869565,192.9565217,0.337192049,-2063.76,111,1166.4,181.6,291.6,197.6220159,61,2292.14115,223,910892,1798664,JeffersonIndiana,"Jefferson County, IN",21406,24676,23850,Indiana,1961.950931,145987.2507,120,121,33,8780,303,-61,364,118,185,230,3,1141,121,75,16,341,245,308,247,694853.1957,0.28105164,MADISON,,,,IN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MADISON NJ,abies,3442510,39075,34,5775,16229,221,MADISON,288.6666667,119.3333333,169.3333333,3111,200.4166667,0.166666667,156.9166667,0.419118434,-1899.1,109.3333333,1294,170,284.3333435,88.44902093,62,1116.28569,221,1791619,2176284,BourbonKansas,"Bourbon County, KS",20367,20321,16919,Kansas,1957.255224,694052.2369,103,121,32,8756,290,-78,368,206,-14,213,-14,1254,122,79,11,347,270,337,270,22733.70937,0.419776113,MADISON,,,,NJ,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MADISON WI,abies,5548000,8075,55,108843,243967,222,MADISON,275.2,129.6,145.6,2583.707692,151.0734694,27.0244898,154.9387755,0.3803948,-2722.408163,100.3538462,843.0153846,133.4461538,267.7846168,284.394891,51,24325.18608,222,534783,2250342,PorterIndiana,"Porter County, IN",37142,40553,34975,Indiana,1973.812165,254362.561,78,116,27,10535,284,-135,419,207,-66,207,-66,804,99,26,38,292,94,292,94,1123598.021,0.105146066,MADISON,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MALMSTROM AFB MT,abies,3047275,36111,30,1171,3545,331,MALMSTROM AFB,262.6666667,139.3333333,123.3333333,2013.666667,29.16666667,86.41666667,70.16666667,0.027254846,-3212.727273,82.66666667,371,139.3333333,264.6666768,1041.780516,41,1323.48489,331,-1146240,2815359,CascadeMontana,"Cascade County, MT",53634,26895,25052,Montana,2002.115717,1.00E+05,72,132,32,8842,284,-122,406,159,-41,185,-41,372,70,14,56,170,50,141,50,831835.6272,0.006988779,GF MAFB,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MAMARONECK NY,abies,3644831,40015,36,7512,19675,221,MAMARONECK,296.6666667,107.3333333,189.3333333,3282.333333,225,0,154.6666667,0.373155582,-1564.142857,104.3333333,1233.333333,168.3333333,282.3333333,9.60743427,71,839.15676,221,1842526,2210043,WestchesterNew York,"Westchester County, NY",31308,38080,39085,New York,1954.483414,623307.5791,114,98,28,8639,290,-53,343,100,1,224,1,1149,106,79,9,311,263,291,263,126.0972015,0.21013114,MAMARONECK,,,,NY,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MANCHESTER MO,abies,2945668,36123,29,7553,18295,223,MANCHESTER,290.3333333,105,185.3333333,4110.666667,204.1818182,0,144.5454545,0.28256461,-2076.058824,89.33333333,1056.5,186,305.0000076,166.4275782,61,1315.71492,223,473795,1741887,St. LouisMissouri,"St. Louis County, MO",43847,37078,37121,Missouri,1977.596763,230181.72,127,126,31,9379,319,-75,394,126,-1,243,-1,990,105,50,19,292,184,268,184,901866.218,0.231932486,MANCHESTER,,,,MO,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MANHATTAN MT,abies,3047575,36077,30,733,1652,3320,MANHATTAN,255.2269334,150.7730666,104.4538668,1869.788408,136.6666667,11.66666667,153.3333333,0.067577178,-3107,85.20769362,322.476155,141.2371923,271.5666369,1292.278443,42,512.81802,3320,-1186807,2637676,GallatinMontana,"Gallatin County, MT",20538,25680,23900,Montana,1975.980092,217562.5,68,148,35,8780,293,-119,412,156,-44,182,-44,344,59,10,55,149,34,121,34,853415.0276,0.003178785,MANHATTAN,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MANSFIELD PA,abies,4247080,48177,42,1132,3542,211,MANSFIELD,274,134,140,2237.848279,192.75,3.25,210.5,0.368585913,-2425,103.6920307,871.4054666,139.5523833,258.6164712,369.9703588,52,489.50811,211,1550609,2244105,JeffersonKentucky,"Jefferson County, KY",27092,27923,27749,Kentucky,1959.661476,168696.3979,77,120,32,8872,268,-101,369,167,-41,188,-41,809,99,42,24,266,139,257,139,262980.7905,0.198128795,MANSFIELD,,,,PA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MAPLE GROVE MN,abies,2740166,34013,27,23626,67978,222,MAPLE GROVE,272.7916667,126.2083333,146.5833333,2705.958333,153.6790123,16.17283951,175.2962963,0.361648137,-3047.701031,94.125,769.3333333,126.4166667,269.6249949,280.9866109,42,9070.14498,222,199460,2460492,HennepinMinnesota,"Hennepin County, MN",33079,33643,32640,Minnesota,1988.763302,305486.7025,67,118,25,11551,286,-168,454,208,-91,208,-91,752,111,21,50,312,69,312,69,1176611.558,0.088443313,MAPLEGROVE,,,,MN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
MAPLETON IA,abies,1949170,26083,19,631,1146,251,MAPLETON,275.8706263,121,154.8706263,3269.652376,214.5,4,214,0.279102163,-2744.25,74.31263333,766.319293,152.2191914,286.5872645,349.3598553,51,414.3984,251,17198,2129620,MononaIowa,"Monona County, IA",14910,22518,18845,Iowa,1959.49635,102643.1718,92,125,28,10880,301,-131,432,205,-57,225,-57,737,111,15,53,302,55,289,55,1371968.998,0.051600868,MAPLETON,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
